developer,votes
Qwiboo Ltd,686
Flashbulb,682
REMIMORY,681
Blazing Griffin,679
Zoink Games,672
Anteater Games,672
Legend Studio,671
Grynsoft,670
D3T,667
ZuoBuLaiGame,666
Fishlabs Entertainment GmbH,664
Big Boat Interactive,664
High Horse Entertainment,661
Ubisoft  Shanghaï,660
Trinity Team srls,658
Pirate Software,657
Interdimensional Games Inc,654
Freakinware Limited,654
Neversoft,653
Diminished Studios,651
Ice-Pick Lodge,643
Trese Brothers,642
Convoy Games,642
White Rabbit,640
Tomasz Wacławek,640
Reentry Games,639
"Boundless Dynamics, LLC",636
"Vicious Cycle Software, Inc.",636
AlphaSoft LLC,634
"Nerve Software, Gearbox Software, LLC",629
Studio Evil,629
Stress Level Zero,629
nornware AB,628
Terrible Posture Games,628
Coconut Island Studio,627
Arachnid Games,626
Jonathan Wood,623
Mighty Rocket Studio,618
Tennen-sozai,612
Four Circle Interactive,609
Space Boat Studios,607
Victor Möller,605
Free Candy Games,605
Iron Galaxy Studios,605
Siege Games,598
Crian Soft,596
Moonbyte,593
Whale Rock Games,593
Qooc Software,592
Grizlikyt,592
AlternativaPlatform,591
Switchblade Monkeys Entertainment,590
Hörberg Productions,590
Frogsong Studios AB,586
Basaltic studio,585
4 I Lab,585
Last Bastion Studios LLC,583
BitCake Studio,582
Threaks,581
Coilworks,581
Holospark,579
ZOV GAME STUDIO,577
Mommy's Best Games,575
Oxeye Game Studio,573
Indefatigable,572
Kumobius,572
S.C. 16 BIT NIGHTS S.R.L.,563
Fractal Phase,563
DSGame,561
Andrew Gilmour,558
Cloud 9 Studio,558
Slak Games,557
Breakfall,552
"Alzan Studios, LLC",551
Stormind Games,549
FiolaSoft Studio,549
Empires,548
Majorariatto,548
Nadeo,547
Chandler Rounsley,547
Bmc Studio,545
Phenomic,545
Decent Machine,545
KvK Games,540
Blindflug Studios AG,540
Chris McFarland,539
Schell Games,539
Konstantin Koshutin,537
Byking Inc.,536
Kukouri,536
Jae Lee,535
inbetweengames,535
Ellada Games,534
"Gunpowder Games, LLC",533
Phenomenon Games,532
Aspyr Studios,532
Digerati Distribution,531
Splashteam,530
Spotlightor Interactive,529
Red Obsidian Studio,526
Masthead Studios Ltd,524
Red Storm Entertainment,524
Cyanide Studio - Spiders Studios,523
IonFx,521
Great War Team,521
nanos GbR,520
Broken Rules,520
Vostok Games,520
Define Human Studios,520
Breadmeat,519
Alex Piola,518
Santa Ragione,516
Stegosoft Games,515
Uber Entertainment,515
Team D-13,515
Cats Who Play,514
Puzzling Dream,513
Quantized Bit,513
Megastorm Games,511
The Quantum Astrophysicists Guild,511
Black Rock Studio,510
Dingo Games,510
Wales Interactive,509
Pixelnest Studio,509
Crunchy Games,507
Big Sandwich Games,505
[geim].pro,504
B52 Development Team,504
Master Indie,502
Plausible Concept,502
ULTRA ULTRA,501
Mr. Podunkian,501
MONKEYCRAFT Co. Ltd.,501
Serious Brew,501
Haggard Games,501
Orthogonal Games,501
varlamov5264,499
Fermenter Games,497
Nik Nak Studios,496
XREAL Games,495
L. Stotch,495
Human Head Studios,491
Straight Right,490
TimeGate Studios,490
Lizsoft,488
Technomancy Studios,488
Spellbound,487
Nawia Games,487
Eidos Studio Hungary,486
Polyarc,485
Stamina-Games,484
"Moss Co., Ltd.",483
Extend Studio,482
Triple.B.Titles,481
Digital Crafter,480
HFM Games,479
Brian Cronin,479
FlipSwitch Games,478
Fourattic,478
Flying Helmet Games,478
Renegade Kid,478
M. Hanka,477
Ankake Spa,477
PolyKid,475
Blowfish Studios,475
"BitMonster, Inc.",474
TAITO CORP.,471
Strange Loop Games,470
Studio Whisky Tango Inc.,470
Team17 Software Ltd. ,469
Sand Sailor Studio,467
Real Dynamics,465
Krealit,465
IndieGala,464
Shadow Planet Productions,464
Saber Interactive,464
Platine Dispositif,462
Chaosoft Games,461
Shawn Beck,459
Awoker Games,459
BlackFoot Studios,456
Anarchy Enterprises,456
Craneballs,456
Terminal Reality,453
Caveman Studio,453
Tanki Online Ltd.,452
Carbon,452
Rogue Entertainment,450
Blackjard Softworks,449
"Wisdom Tree, Inc.",445
Codemasters Studios,444
Bloodirony,443
Dark Energy Digital Ltd.,443
ChAIR Entertainment,442
Playsaurus,442
My Dog Zorro,441
No Goblin,441
Doragon Entertainment,439
Phantom Compass,439
Triangle Studios,438
Peach Pie Productions,438
OneShark,436
Lunar Ray Games,436
KTX Software,436
Ionized Studios,433
Flix Interactive,432
Biart Company LLC,432
"CRAZYDIAMOND CO., LTD.",431
"Acceleroto, Inc.",431
"Arcen Games, LLC",431
Superboss Games,430
Easy game,430
Funktronic Labs,428
AtomicTorch Studio,428
TickTock Games,426
Evil Twin Artworks,425
Marcelo Barbosa,424
"Reflections, a Ubisoft Studio",420
Sólfar Studios,420
Blendo Games,418
Ludic Studios,417
Bitten Toast Games Inc.,416
Copybugpaste,416
Invent4 Entretenimento,415
ThroughLine Games,415
Soldak Entertainment,415
Avidly Wild Games,414
Scary Bee LLC,413
Pixel Maniacs,413
Graybeard Games,412
Sinclair Strange,412
Borealys Games,410
Best Way,407
"PopCap Games, Inc.",407
Oreol,407
Digital Cybercherries,405
LLC RIKOR IMT,405
Panda Indie Studio,404
Mokus,404
"Pentadimensional Games, SL",402
Alan Edwardes,402
Hyper Hippo Games,402
Skydance Interactive,401
Most Wanted Entertainment,401
Angry Mob Games,401
Studio Nanafushi,399
DRUNKEN APES,399
Alec Smith,398
Ludomotion,398
Split Polygon,398
Omniconnection,398
Teotl Studios,396
東方幕華祭制作组,395
HeadHuntersGames,395
Stanislaw Truchowski,394
Coffee Powered Machine,394
Everglow Interactive Inc.,393
Enitvare,392
"Entwell Co., Ltd.",390
Dead Shark Triplepunch,389
Koenigz,389
RedBedlam,387
Twisted Pixel Games,387
Mimimi Productions,386
Cauldron,385
Cylinder Studios,385
FitXR,385
Size Five Games,385
Space Bullet Dynamics Corporation,385
Blueteak,383
SoundAndFuryGames,383
Ogre Head Studio,382
Quadro Delta,382
Russpuppy,380
Replay Studios,379
Eforb,378
Bugbyte Ltd.,378
Waz,376
Meridian4,376
Panoramik Inc,376
Electric Hat Games LLC.,375
BigTapir Games,374
Steve Gal,372
Halfbrick Studios Pty Ltd,371
Firemint,370
CREATIVE ASSEMBLY,370
Seaven Studio,368
Tasty Stewdios LLC,368
VDO Games,367
"BigBox VR, Inc.",367
Phaser Lock Interactive,366
Xaviant,364
Soleil Ltd.,363
Sigtrap,363
Ballistic Interactive,363
Oppai Reveal Studios,363
